,Parameter Name,Suggested Range,Q420
0,CN2,35 - 98,0.09
1,PLAPS,-1000 - 1000 ,47.48
2,TLAPS,-10 - 10,-6.614
3,SFTMP,-20 - 20,-5.290562
4,SMTMP,-20 - 20,-3.52523
5,SMFMX,0 - 20,4.040531
6,SMFMN,0 - 20,4.995668
7,TIMP,0 - 1,0.100382
8,SURLAG,0.05 - 24,2.64695
9,SOL_ALB,0 - 0.25,-0.0615
10,SOL_Z,0 - 3500,-0.02970000000000006
11,SOL_AWC,0 - 1,-0.09450000000000003
12,SOL_BD,0.9 - 2.5,-0.08190000000000008
13,SOL_K,0 - 2000,0.07159999999999989
14,CANMX,0 - 100,24.5
15,ESCO,0 - 1,0.029
16,EPCO,0 - 1,0.387
17,LAT_TIME,0 - 180,17.29
18,OV_N,0.01 - 1,0.38779
19,ALPHA_BNK,0 - 1,0.6921
20,CH_N2,-0.01 - 0.3,0.020644
21,CH_K2,-0.01 - 500,149.3
22,SHALLST,0 - 50000,3299
23,REVAPMN,0 - 500,121.5
24,GW_REVAP,0.02 - 0.2,0.04934
25,GWQMN,0 - 5000,1742
26,GW_DELAY,0 - 500,47.474998
27,ALPHA_BF,0 - 1,0.78519
28,RCHRG_DP,0 - 1,0.09145
