,Date,601_ppt,601_tmax,601_tmin,604_ppt,604_tmax,604_tmin,605_ppt,605_tmax,605_tmin,606_ppt,715_ppt,715_tmax,715_tmin,805_ppt,805_tmax,805_tmin,810_ppt,810_tmax,810_tmin,814_ppt,814_tmax,814_tmin
0,1/1/1980,0.0,11.31,-1.95,0.0,9.2,-3.0,0.0,13.00,5.6,0.0,0.0,14.0,4.3,0.0,19.0,6.02,0.0,16.0,8.4,0.0,13.0,4.0
1,1/2/1980,0.0,11.39,-1.74,0.0,9.2,-2.0,0.0,19.00,7.8,0.0,2.5,11.7,4.0,0.0,18.6,5.4,0.0,16.0,9.0,0.0,11.2,4.9
2,1/3/1980,0.0,11.54,-2.21,0.0,7.8,-5.0,0.0,19.80,5.4,0.0,0.0,11.4,5.2,0.3,20.4,5.0,0.0,18.4,10.0,0.0,12.9,4.0
3,1/4/1980,0.0,11.45,-2.51,0.0,8.3,-5.0,0.0,19.60,5.0,0.0,0.0,12.5,3.3,5.4,18.8,6.2,0.0,20.2,9.0,0.0,10.9,3.5
4,1/5/1980,0.0,10.96,-2.32,0.0,10.2,-4.2,13.0,19.40,4.6,0.0,0.0,12.8,3.6,1.0,20.0,4.8,0.0,19.0,7.0,0.0,11.5,3.0
5,1/6/1980,0.0,10.92,-2.04,0.0,9.0,-3.5,0.0,19.40,4.4,0.0,0.0,12.6,3.5,0.0,17.4,6.2,0.0,19.0,8.0,0.0,10.9,3.4
6,1/7/1980,0.0,10.3,-2.57,0.0,13.2,-2.4,0.0,18.60,4.6,0.0,0.0,11.7,4.2,5.5,17.2,4.8,0.0,19.0,9.0,0.0,10.8,3.2
7,1/8/1980,0.0,9.69,-3.16,0.0,12.2,-1.2,0.0,19.40,5.4,0.0,0.0,10.3,4.3,0.0,20.0,4.8,0.0,20.0,7.2,0.0,11.8,4.0
8,1/9/1980,0.0,9.67,-2.58,0.0,11.7,-1.8,0.0,20.40,6.0,0.0,0.0,13.2,4.5,0.0,20.2,3.6,0.0,20.4,5.8,0.0,12.9,4.3
9,1/10/1980,0.0,10.58,-2.82,0.0,10.8,-2.1,0.0,20.20,6.0,0.0,0.0,11.9,4.2,0.0,20.0,4.8,0.0,20.2,7.0,0.0,11.8,4.2
10,1/11/1980,0.0,10.63,-2.22,0.0,9.5,-3.1,0.0,20.00,7.2,0.0,0.0,11.5,3.4,0.0,20.4,4.4,0.0,20.4,7.4,0.0,12.0,4.0
11,1/12/1980,0.0,11.09,-2.53,0.0,11.6,-4.8,0.0,19.60,6.2,0.0,0.0,14.0,4.5,0.0,20.8,6.0,0.0,20.0,7.0,0.0,11.6,4.2
12,1/13/1980,0.0,9.98,-2.85,0.0,10.5,-8.4,0.0,21.20,9.2,0.0,0.0,14.7,5.8,0.0,21.4,6.0,0.0,21.0,7.0,0.0,13.3,4.0
13,1/14/1980,0.0,10.7,-2.55,0.0,10.5,-2.8,0.0,21.00,6.0,0.0,0.0,12.0,5.6,0.0,20.6,4.8,0.0,21.4,6.4,0.0,13.4,4.9
14,1/15/1980,0.0,10.59,-2.16,0.0,13.4,-2.0,0.0,20.90,5.0,0.0,0.0,12.6,4.5,0.0,22.0,6.0,0.0,20.4,6.8,0.0,13.4,4.5
15,1/16/1980,0.0,10.57,-1.86,0.0,12.5,-2.0,0.0,20.60,6.1,0.0,0.0,12.5,4.8,0.0,20.2,6.0,0.0,20.4,7.0,0.0,12.2,4.8
16,1/17/1980,0.0,10.67,-2.28,0.0,11.5,-1.7,0.0,21.00,6.7,0.0,0.0,11.1,7.5,0.0,20.4,6.0,0.0,21.0,8.4,0.0,13.2,5.5
17,1/18/1980,0.0,10.37,-1.79,0.0,11.4,-1.0,0.0,21.40,6.5,0.0,0.0,16.3,6.3,0.0,21.2,6.0,0.0,22.2,8.0,0.0,13.6,5.5
18,1/19/1980,0.0,10.23,-2.17,0.0,11.0,-1.4,0.0,21.40,7.0,0.0,0.0,12.9,5.38,1.2,20.4,7.4,0.0,21.6,8.0,0.0,12.5,6.5
19,1/20/1980,0.0,10.16,-2.56,0.0,16.0,-0.2,0.0,22.40,6.81,0.0,0.0,13.9,8.3,0.0,21.2,4.0,0.0,22.0,8.4,0.0,13.5,5.8
20,1/21/1980,0.0,9.85,-2.04,0.0,11.5,-1.0,0.0,21.80,8.0,0.0,0.0,13.8,6.2,0.0,22.4,8.2,0.0,21.6,9.4,0.0,12.5,6.8
21,1/22/1980,0.0,10.07,-2.13,0.0,10.2,-1.0,0.0,22.60,7.3,0.0,0.0,14.4,6.7,0.0,22.8,7.0,0.0,22.2,8.2,0.0,14.5,6.2
